availability_365,City,host_id,host_name,id,last_review,latitude,longitude,minimum_nights,name,neighbourhood_cleansed,number_of_reviews,price,room_type
0,Chicago,13374424,RaeGina,3177497,2024-10-15,42.013777799902776,-87.67188185110726,28,Cozy Gotham Private King Bed & Bath near the Lake!,Rogers Park,18,,Private room
225,Chicago,2676165,Richard,3267902,2025-02-16,41.98908,-87.66697,1,Ravenswood Guest House Annex,Edgewater,419,98.00,Entire home/apt
300,Chicago,5960265,Courtney And Garrett,3292054,2025-03-11,41.94278,-87.65621,4,The Roscoe House near Wrigley Field,Lake View,323,228.00,Entire home/apt
260,Chicago,16707041,Matthew,3308694,2024-11-18,41.88711,-87.6438,2,"""The Annex II"" Huge 1,600 Sq foot Apartment",Near West Side,136,356.00,Entire home/apt
334,Chicago,16807770,William,3329088,2024-11-30,41.88367,-87.70864,3,East Garfield Park 2 Bedroom,East Garfield Park,160,140.00,Entire home/apt
92,Chicago,2308792,Jonathan,464581,2025-01-29,41.92518,-87.69549,32,"Large, Private Logan Square Studio",Logan Square,649,67.00,Entire home/apt
118,Chicago,2501182,Nate,507517,2025-02-17,41.96678,-87.6973,2,Private Lincoln Square Garden Apt,Lincoln Square,432,112.00,Entire home/apt
0,Chicago,2273840,Sarah,542067,2024-08-18,41.93142,-87.69989,3,Logan Square Modern Vintage Garden,Logan Square,305,145.00,Entire home/apt
90,Chicago,2880338,Elizabeth,584590,2025-01-11,41.96528,-87.6831,32,"Spacious Bedroom, steps to El train",Lincoln Square,56,37.00,Private room
332,Chicago,2915265,Felice,634310,2024-11-02,41.99688,-87.66449,3,The Stained Glass Apt. Edgewater #1,Edgewater,142,64.00,Private room
328,Chicago,9995028,Chad,3385966,2023-11-11,41.93594,-87.66953,32,Welcome to your 2BD Penthouse,Lake View,190,175.00,Entire home/apt
149,Chicago,8781008,Jenn,3394750,2025-02-17,41.8251,-87.6739,1,Park Side Apt. Walk to Orange Line!,Mckinley Park,110,77.00,Entire home/apt
362,Chicago,17217012,Janet,3434136,2023-10-15,41.94159,-87.65099,32,Beautiful West Lakeview location,Lake View,177,86.00,Private room
69,Chicago,13389580,Ed,3445991,2025-01-12,41.94418,-87.79895,32,"#55-Clean,Great area. free parking, 24h check in.",Dunning,7,35.00,Private room
0,Chicago,17405364,Jennifer,3453656,2025-01-24,42.00146,-87.66982,7,Private large room with your own bathroom,Rogers Park,48,,Private room
26,Chicago,11294056,Amanda,3517984,2025-03-03,41.79963,-87.59186,1,Private room w/bath in urban canopy,Hyde Park,487,65.00,Private room
271,Chicago,3920450,Vasileios,3570616,2024-10-01,41.93047,-87.7196,32,1 Bedroom Victorian Beauty at Logan Square!,Logan Square,160,71.00,Entire home/apt
0,Chicago,3200044,James,640841,2024-12-30,41.94256,-87.67171,4,Designer Lakeview Haven. Private Rooftop Oasis!,Lake View,101,238.00,Entire home/apt
2,Chicago,2824576,Jeff,651742,2024-10-16,41.99178,-87.75747,2,Edgebrook Lg bdr by golf course,Forest Glen,119,82.00,Private room
359,Chicago,2824576,Jeff,662034,2024-10-14,41.99405,-87.75746,2,Edgebrook bdr by golf course,Forest Glen,99,73.00,Private room
203,Chicago,3472696,Roxane,681842,2024-12-11,41.99373,-87.68279,32,Bedrm/Bath - Swanky Northside Condo,West Ridge,32,61.00,Private room
195,Chicago,3574415,Marvin Stanley,697634,2024-05-26,41.90437,-87.6335,32,"2 BD Condo by downtown,park,lake",Near North Side,160,105.00,Entire home/apt
19,Chicago,2658212,James,726376,2025-02-23,41.93903,-87.65196,2,"Spacious Studio, Amazing Location!",Lake View,874,122.00,Entire home/apt
220,Chicago,3867687,Janet,739495,2024-12-03,41.9765,-87.68144,7,Lovely 2 bedroom in Lincoln Square,Lincoln Square,218,180.00,Entire home/apt
148,Chicago,12955486,Luke & Ligia,3590692,2024-10-09,41.99103,-87.66166,20,"Modern, Super-CLEAN, Garden Level  Bedroom 3",Edgewater,48,46.00,Private room
227,Chicago,837429,Petru,3638744,2024-11-15,41.95965,-87.72016,14,Chicago Suite 1BR/1BA (3709-G2),Irving Park,48,91.00,Entire home/apt
221,Chicago,8607123,Grainne,3639045,2024-07-20,41.99595,-87.67545,32,Modern suite in Victorian Garden setting.,West Ridge,6,59.00,Entire home/apt
312,Chicago,18742622,Barbara,3696178,2024-12-12,42.0222,-87.67226,3,Beautiful condo close to the beach,Rogers Park,82,46.00,Private room
343,Chicago,2907254,Joseph,3742513,2024-10-21,42.0168,-87.68771,1,03a. Queen sized in coed room,West Ridge,170,18.00,Shared room
0,Chicago,14015437,Andrew &  Diane,3761023,2024-12-29,41.83615,-87.64638,3,"Free parking, close to public transit, dining",Bridgeport,102,,Entire home/apt
180,Chicago,19416379,Glenda,3783533,2025-03-01,41.898048,-87.702972,28,"""Home Away from Home"" - Free Street Parking!",Humboldt Park,365,114.00,Entire home/apt
192,Chicago,3920450,Vasileios,755701,2024-12-04,41.93115,-87.71836,32,3 Bedroom Victorian Beauty at Logan Square,Logan Square,31,68.00,Entire home/apt
0,Chicago,4525503,Nejla And Enki,863120,2025-02-09,41.92218,-87.66079,2,Cozy Private Room in a unique Chicago Penthouse,Lincoln Park,160,91.00,Private room
0,Chicago,5007980,Lynn,929914,2024-11-18,41.912410736083984,-87.63896942138672,3,Victorian Home meets Mid-Century Modern Decor,Lincoln Park,504,,Entire home/apt
362,Chicago,5015135,Samantha,931105,2018-11-02,41.88538,-87.69801,32,Modern Guest Bedroom Room in Designers House,East Garfield Park,22,172.00,Private room
336,Chicago,5228189,Matthew,960326,2025-02-23,41.89602,-87.65659,2,The Penthouse Gallery at OHC - No Cleaning Fee!,West Town,473,232.00,Entire home/apt
228,Chicago,19471032,Alberto,3792844,2024-12-12,41.877,-87.63055,32,Luxury One Bedroom One-Private bathroom on beach,Loop,12,60.00,Private room
364,Chicago,19578992,Laura,3809530,2023-10-09,41.90173,-87.67359,32,Best location in Chicago! Superhost,West Town,103,257.00,Entire home/apt
302,Chicago,11231030,Erik,3811926,2024-10-28,41.78392,-87.72921,1,The Blue Room,West Lawn,528,37.00,Private room
