availability_365,City,host_id,host_name,id,last_review,latitude,longitude,minimum_nights,name,neighbourhood_cleansed,number_of_reviews,price,room_type
63,Chicago,10107971,Lorri Ann,755934562888126191,2024-06-20,41.94085,-87.65898,29,Spacious Townhome 2 Blocks From Southport Corridor,Lake View,6,166.00,Entire home/apt
128,Chicago,103443157,Al,756569713594312837,2025-02-17,41.94085,-87.72147,3,"Luxury 2br, Avondale free Garage, No Cleaning Fee",Avondale,52,110.00,Entire home/apt
305,Chicago,72858452,Jonathan,756864129367543529,2025-01-05,41.73692,-87.55919,2,Spacious 3 Level Home with 5 BDR/3 BA & 2 Kitchens,South Chicago,64,366.00,Entire home/apt
165,Chicago,459410002,David,757070710390059559,2025-02-16,41.82922530671223,-87.68211382286282,3,Cozy 2BR Apt | Easy Access from Midway,Mckinley Park,45,125.00,Entire home/apt
0,Chicago,90254823,Margaret,757256633941807830,2025-02-26,41.92277977211583,-87.68786709755659,1,Lofted 2nd Floor Apartment with Spiral Staircase,Logan Square,184,,Entire home/apt
0,Chicago,255787856,Lauren,774706280523096121,2024-09-02,41.94156,-87.72304,1,"Cute, Private, Two Bedroom Suit",Avondale,7,,Entire home/apt
330,Chicago,370154553,Innesa,775491385861485806,2025-03-09,41.85502,-87.62546,2,McCormick 2 King beds suite w gym parking-sleeps 6,Near South Side,48,212.00,Entire home/apt
152,Chicago,130968209,Carlos,775541627673909562,2025-01-01,41.95035,-87.65481,1,Ballhawk's Clubhouse,Lake View,38,801.00,Entire home/apt
339,Chicago,370154553,Innesa,776122022268511396,2025-02-17,41.8542,-87.62689,2,McCormick 4B/2Ba HUGE unit/opt parking/sleeps 10,Near South Side,76,412.00,Entire home/apt
0,Chicago,488124046,Garrie,776148930155227757,2025-02-23,41.88593,-87.64409,1,1BR Modern Luxe Apt with In-Unit Laundry,Near West Side,126,82.00,Entire home/apt
1,Chicago,172229895,Bel,757855631547862796,2025-02-24,41.85539,-87.65377,3,My Cozy Casa in Pilsen,Lower West Side,83,154.00,Entire home/apt
5,Chicago,13714523,Lindsey,757971058903624445,2024-12-02,41.9167058,-87.6725663,5,Lovely Bucktown 2-Bedroom Unit with Private Patio,Logan Square,16,119.00,Entire home/apt
290,Chicago,243779291,Hakim,758072223330776518,2024-11-22,41.9675915,-87.7217455,2,XL room ultra cozy huge TV queen Para mattress,Albany Park,35,53.00,Private room
364,Chicago,31669178,Donna,758081123003767867,2024-08-31,42.0085682,-87.6704349,32,"Lake, Beach,Theater,Downtown,Redline, Northwestern",Rogers Park,3,89.00,Entire home/apt
314,Chicago,243779291,Hakim,758085625536020493,2025-01-20,41.9666,-87.72278,3,Blue roomfortable 4k TV Brand new Queen Mattress,Albany Park,26,54.00,Private room
276,Chicago,243779291,Hakim,758094546115213846,2025-02-16,41.9675915,-87.7217455,2,Specious room NEW queen bed HDTV perfect location,Albany Park,35,31.00,Private room
74,Chicago,83628553,Joseph,758717518435561349,2025-02-23,41.94051,-87.70798,2,Avondale Triangle Apartment I Near Wrigley/Transit,Avondale,75,92.00,Entire home/apt
335,Chicago,248760412,Cloud9,758822458231171083,2024-07-25,41.8811582,-87.63163139999999,2,Cloud9 | Up to 15 ppl Millenium Park | The Jordan,Loop,4,"1,661.00",Entire home/apt
365,Chicago,248760412,Cloud9,758907337720590101,2024-10-10,41.8811582,-87.63163139999999,2,Cloud9 | Up to 20 ppl Millenium Park |The Crawford,Loop,2,"1,876.00",Entire home/apt
0,Chicago,490523399,Celia,776322746144071304,2023-10-16,41.90753165897841,-87.66718659549952,1,5 Bedroom Plus Loft Space with Private Event Space,West Town,9,"3,103.00",Entire home/apt
323,Chicago,490525780,Zam,776336628989254573,2025-01-04,41.99428,-87.707,1,Cozy 3BR Condo on Devon Sleeps 6 Ideal for Family,West Ridge,23,135.00,Entire home/apt
335,Chicago,248760412,Cloud9,759487582117796552,2025-03-10,41.88872,-87.64663,2,"2000ft²PH,Unmatched View. 500+Guests Wowed|TheMile",West Town,48,523.00,Entire home/apt
161,Chicago,480338513,Lane,759496911737730626,2025-02-23,42.01591,-87.66468,1,Lively 2BR Apartment Near the Beach and Park,Rogers Park,69,84.00,Entire home/apt
326,Chicago,248760412,Cloud9,759519262986933792,2025-02-19,41.8887227,-87.6466284,2,"1300ft² 2-Bed:Views,Location &Amenities|TheLincoln",West Town,70,386.00,Entire home/apt
331,Chicago,107434423,Blueground,759907391316637197,2023-02-24,41.86350729999999,-87.62375089999999,32,"Blueground | S Loop, pool & gym nr Grant Park",Near South Side,1,203.00,Entire home/apt
257,Chicago,169297663,William,776741327606724223,2025-03-05,41.89347,-87.62769,3,River North Hideaway w/Amazing Views and Parking,Near North Side,91,225.00,Entire home/apt
246,Chicago,469853237,Diana,777051892890379932,2025-02-23,41.9691492,-87.7198028,2,Elegant 4Bedroom  with Free Parking in Albany Park,Albany Park,41,197.00,Entire home/apt
11,Chicago,107434423,Blueground,777399024172389904,2023-06-12,41.898904,-87.62797,32,"Blueground | Gold Coast, gym & lounge, near L",Near North Side,1,179.00,Entire home/apt
349,Chicago,395498979,Milan,777496291747246525,2025-03-10,41.85567,-87.62502,2,McCormick 3B/2Ba Corner Oasis for up to 10 guests,Near South Side,58,256.00,Entire home/apt
1,Chicago,22608682,Ryan,777508171927458329,2025-02-18,41.88415,-87.71015,1,"Cottage Crafts Room - Free Parking, 1 block to CTA",East Garfield Park,48,41.00,Private room
244,Chicago,56233038,Michael,777531915103176211,2024-09-02,41.8945032,-87.6633481,2,West Town 1-Bedroom Full Remodel,West Town,51,118.00,Entire home/apt
245,Chicago,107434423,Blueground,759909758935173285,2022-12-31,41.86350729999999,-87.62375089999999,32,"Blueground | S Loop, pool & gym nr Grant Park",Near South Side,1,145.00,Entire home/apt
245,Chicago,3535137,John,760159982210300664,2025-01-01,41.96736345433594,-87.69154354232788,3,Lincoln Square Retreat,Lincoln Square,7,171.00,Entire home/apt
320,Chicago,3230291,David,760348409256483116,2025-02-17,41.962037,-87.6670071,2,A Hand-some Place Near Wrigley,Uptown,103,139.00,Entire home/apt
352,Chicago,53292317,Mary,760854585897769463,2024-11-04,41.93416,-87.71059,32,MasterRoom/PrivateBathroom.3 Blocks from BlueLine.,Avondale,6,75.00,Private room
162,Chicago,480338513,Lane,760970616533000519,2025-02-16,42.01253,-87.66381,1,Cozy 1BR Apartment in Rogers Park,Rogers Park,50,79.00,Entire home/apt
39,Chicago,487875254,Mikael,760985260337363062,2025-03-03,41.7946456,-87.5930904,2,Spacious 1BR Garden Apt & Parking,Hyde Park,91,139.00,Entire home/apt
1,Chicago,132798480,Abbey,761071522423068825,2024-08-04,42.01011,-87.67391,3,Gorgeous 2-bedroom Condo in Chicago,Rogers Park,6,107.00,Entire home/apt
74,Chicago,10837582,Dw,761210794049257321,2025-02-25,41.90784926953003,-87.67542166931152,3,Penthouse Oasis Collection. 3 bed New for 2023 !,West Town,88,205.00,Entire home/apt
108,Chicago,487979314,Maganbhai,761559137835061640,2025-01-04,41.97146,-87.76541,4,Chicago Jefferson Park Penthouse near train stop!,Jefferson Park,50,131.00,Entire home/apt
0,Chicago,83796256,MGM Properties,761802670768844180,2024-12-29,41.87174,-87.62632,2,Affordable 2-Bedroom on Wabash,Loop,70,215.00,Entire home/apt
2,Chicago,107434423,Blueground,762097694224726347,2023-12-10,41.8860812,-87.63422229999998,32,"Blueground | Loop, gym & lounge, nr Riverwalk",Loop,2,137.00,Entire home/apt
1,Chicago,10713688,Matthew,762190630064709336,2025-02-01,41.91021,-87.68584,32,Relaxing Wicker Park Garden Unit,West Town,7,98.00,Entire home/apt
96,Chicago,105641,Adeoye,762352511071081007,2025-03-03,41.7971432675832,-87.62304501944337,3,Vibrant 3BR Chicago Apt. near U of Chicago,Washington Park,68,128.00,Entire home/apt
0,Chicago,107434423,Blueground,762805589779906443,2023-04-10,41.8725288,-87.6308608,32,"Blueground | South Loop, gym & lounge, nr park",Loop,1,,Entire home/apt
261,Chicago,40741754,Wes,777548831904551888,2025-01-03,41.82814968179045,-87.61867275264682,2,3bd/3ba Bronzeville Beauty,Douglas,45,261.00,Entire home/apt
110,Chicago,14294668,Katrina,778523378410939381,2024-12-23,41.93375331177288,-87.65248586560669,2,Beautiful studio great location!,Lake View,65,185.00,Entire home/apt
222,Chicago,445202748,Christian,763187886068295971,2025-02-02,41.92265,-87.65416,2,Delightful & Cozy 3 Story Lincoln Park Home DePaul,Lincoln Park,83,203.00,Entire home/apt
349,Chicago,248760412,Cloud9,763832593500849642,2025-02-22,41.8949969,-87.6537109,2,Luxury PH | Private Terrace & Skyline View |TheBow,West Town,67,587.00,Entire home/apt
0,Chicago,487064427,Rolando,763887328758676705,2025-03-10,41.93396,-87.72085,1,Modern 1-Bedroom w/ off-street parking space,Avondale,85,67.00,Entire home/apt
361,Chicago,248760412,Cloud9,764556394279120790,2025-02-06,41.8949969,-87.6537109,3,Cloud9 |Co-Working|Social Room|Gym | The Kane,West Town,3,"1,592.00",Entire home/apt
107,Chicago,24110735,Neal,764576255652833213,2025-01-01,41.91129590041312,-87.6774775904005,4,Perfect Wicker Park Stay,West Town,8,170.00,Entire home/apt
348,Chicago,200343773,Michael,778686487878089624,2024-11-30,41.9215356,-87.7312906,2,Hermosa House ECO-HOME- Peaceful 3BR+ Free Parking,Hermosa,29,468.00,Entire home/apt
311,Chicago,490951159,Aayah,779012977237420486,2024-10-14,41.8532276,-87.6268499,32,Chicago Apartment near McCormick & Chinatown,Near South Side,46,139.00,Entire home/apt
278,Chicago,25074085,Joe,779847692816018201,2025-02-24,41.92383,-87.69369,2,Serene 2-Bdrm: Sunlit Retreat in Heart of the City,Logan Square,93,133.00,Entire home/apt
85,Chicago,92129084,Russell J,779923069020350721,2025-01-01,41.7949,-87.61664,2,W1 MinstoDowntown NexttoUniversity SelfCheckin,Washington Park,65,62.00,Entire home/apt
0,Chicago,248760412,Cloud9,764593141171260084,2024-05-16,41.8949969,-87.6537109,3,Cloud9 | 3XL Penthouses Up to 21 ppl |The Marvelo,West Town,4,"2,007.00",Entire home/apt
216,Chicago,841820,Sebastian,764599477754096242,2025-02-23,41.93889394124207,-87.67093995622423,2,2BD/1 BA with summer patio in quiet Roscoe Village,Lake View,117,125.00,Entire home/apt
350,Chicago,248760412,Cloud9,764622652958240880,2024-12-26,41.8887227,-87.6466284,3,Cloud9 | 3Penthouses in 1 Up to 21ppl  | The Bean,West Town,3,"2,227.00",Entire home/apt
358,Chicago,436959191,Yan Na,764834629776020980,2025-01-29,41.84607,-87.64722,1,H4. Near Chinatown & Downtown - 2min Walk to CTA,Bridgeport,95,32.00,Private room
360,Chicago,239108696,Anna,765378899319829745,2024-10-14,41.92942156950349,-87.72458027236875,2,Logan Square Gem,Logan Square,18,120.00,Entire home/apt
324,Chicago,395498979,Milan,765477129323682949,2025-03-10,41.85542,-87.62539,2,McCormick 2B/2Ba for up to 8 guests w Opt Parking,Near South Side,54,,Entire home/apt
7,Chicago,107434423,Blueground,780253825237131175,2023-09-25,41.8725288,-87.6308608,32,"Blueground | South Loop, gym & lounge, nr park",Loop,1,173.00,Entire home/apt
354,Chicago,155612259,Connor,780431576971958994,2025-02-26,41.95666,-87.78441,2,2 King Beds-Private Gym-Huge Backyard-Garage-Crib,Portage Park,49,185.00,Entire home/apt
110,Chicago,38553561,Drea,780444774240062817,2025-01-20,41.98940332602662,-87.70243127941808,1,Gorgeous Mid-Century Mod House w/hot tub,West Ridge,24,242.00,Entire home/apt
3,Chicago,107434423,Blueground,781033955380371429,2023-10-27,41.8860812,-87.63422229999998,32,"Blueground | Loop, gym & lounge, nr Riverwalk",Loop,2,,Entire home/apt
338,Chicago,150639375,Federico,781066042735737365,2025-03-02,41.82384,-87.70089,1,10 Minutes to Downtown CHI  Arcade Cute 2 Bedroom,Brighton Park,97,74.00,Entire home/apt
0,Chicago,431019163,Paul,781186064034113431,2025-03-09,41.88413,-87.63025,1,2 Queen Bed Room,Loop,110,243.00,Private room
236,Chicago,485663668,Jesus,781240611652369638,2025-03-06,41.856417679395015,-87.6564166828743,3,Pilsen Blue Door,Lower West Side,121,139.00,Entire home/apt
71,Chicago,161249420,Marco,765858270291974118,2025-01-19,41.96257,-87.77756,3,Cozy Jefferson Park 2BR Apt,Portage Park,86,94.00,Entire home/apt
62,Chicago,488781558,Alexandra,766056605942339033,2025-03-09,41.91824137516668,-87.69449380190396,2,Chicago Penthouse Mid-Century Modern: Logan Square,Logan Square,126,74.00,Entire home/apt
155,Chicago,111062630,Kyriako,766064569105486142,2025-03-04,41.858384414672834,-87.66395285725594,2,Lush & Boho Ap in Pilsen Close to Loop/18th Strip,Lower West Side,89,108.00,Entire home/apt
349,Chicago,395498979,Milan,766092656582103547,2025-03-09,41.85571,-87.62334,2,McCormick 2B/2Ba for up to 8 guests w Opt Parking,Near South Side,54,182.00,Entire home/apt
365,Chicago,492394452,Rys,787663525904232072,2023-01-01,41.87614721397627,-87.68946806997629,1,Contemporary  Apartment  Near United Center,Near West Side,1,268.00,Entire home/apt
343,Chicago,491707654,Awayo,787823387803441547,2025-01-12,41.93819,-87.66647,2,Bright & Homey Wrigley Apt w/ Private Patio Deck,Lake View,31,192.00,Entire home/apt
130,Chicago,43445331,Jean,781987855586644266,2025-01-19,41.81628,-87.6208,3,Beautifully Renovated House 10 mins from Downtown,Grand Boulevard,45,,Entire home/apt
71,Chicago,23973552,Damani,782525235032023073,2024-09-15,41.93490580790782,-87.6459328476846,2,Luxury Cabin in Lakeview,Lake View,53,553.00,Entire home/apt
351,Chicago,121719854,Evolve,788314640784579135,2023-04-24,41.70462,-87.61095,32,Chicago Home w/ Spacious Yard: 14 Mi to Dtwn,Roseland,2,158.00,Entire home/apt
363,Chicago,121719854,Evolve,788314790952481922,2024-05-31,41.87249,-87.71522,32,Chicago Gem Near Subway ~ 5 Mi to Downtown,East Garfield Park,1,128.00,Entire home/apt
41,Chicago,187746186,Husni,789833800906973766,2024-06-02,42.0032561,-87.67020029999999,1,Chicago North Shore Hideaway,Rogers Park,41,81.00,Entire home/apt
365,Chicago,248760412,Cloud9,790680128488448674,2024-08-18,41.8764586,-87.6555539,2,Cloud9| Up to 15 ppl Gym & Terrace|The Isley,Near West Side,4,"1,443.00",Entire home/apt
365,Chicago,248760412,Cloud9,790707413840697517,2023-08-25,41.8764586,-87.6555539,3,Cloud9 | Up to 25 ppl 5min Union Park|The Ministry,Near West Side,1,,Entire home/apt
108,Chicago,440050189,Betty And Gab,782676831204335694,2025-02-23,41.9677933,-87.6552229,1,Elegant 2BR Apartment w/ In-Unit Laundry,Uptown,106,106.00,Entire home/apt
10,Chicago,107434423,Blueground,783249596739848974,2024-07-15,41.8725288,-87.6308608,32,"Blueground | South Loop, gym & lounge, nr park",Loop,1,,Entire home/apt
1,Chicago,16304524,Billy,784000151755154810,2025-03-08,41.8793253,-87.6819041,2,2-Bed 2-Bath Apt | close to UC w/ Free Parking,Near West Side,74,100.00,Entire home/apt
322,Chicago,483201459,Joshua,784193936878363811,2025-02-11,41.90521,-87.63152,32,"Modern Lux Apt, FastWi-Fi, POOL, Huge Gym, KingBed",Near North Side,5,90.00,Entire home/apt
293,Chicago,107434423,Blueground,785426710087480770,2024-03-20,41.8945286,-87.63340520000003,32,"Blueground | River N, gym & roof, nr Riverwalk",Near North Side,1,166.00,Entire home/apt
259,Chicago,107434423,Blueground,785429252974057580,2023-03-30,41.8911616,-87.62226299999999,32,"Blueground | Streeterville, gym, nr Riverwalk",Near North Side,1,253.00,Entire home/apt
124,Chicago,111062630,Kyriako,790871331049494974,2025-03-10,41.9979464,-87.66407389999999,2,Marvelous Condo w/ Pri Prkng Cls to Transit &Beach,Edgewater,129,145.00,Entire home/apt
0,Chicago,111062630,Kyriako,790883578380308463,2025-03-04,41.99878411831698,-87.66375526429614,2,Alluring Condo w/ Pri. Prkng Cls to Transit &Beach,Rogers Park,122,,Entire home/apt
344,Chicago,413398063,Destinee,791460640504372746,2024-07-27,41.86133168177298,-87.70581375807524,2,Upscale apartment Westside of Chicago,North Lawndale,9,122.00,Entire home/apt
1,Chicago,436959191,Yan Na,791572628250090348,2025-03-04,41.84817,-87.63447,1,1F2. Queen size bed New Furnishings Free Laundry,Armour Square,103,45.00,Private room
87,Chicago,28316981,Andrew,785519807822092302,2024-08-12,41.97992,-87.66366,2,New Luxury in Andersonville,Edgewater,5,223.00,Entire home/apt
256,Chicago,126179580,Staywell,786314859980446423,2025-03-03,41.89979681841375,-87.62103075088761,2,Corner 3BR in Streeterville | Views | Roof Deck,Near North Side,95,326.00,Entire home/apt
140,Chicago,22021736,Olesya,786499125056084115,2024-10-12,41.93894,-87.65524,1,Cozy two bedroom near Wrigley Field,Lake View,29,191.00,Entire home/apt
1,Chicago,107434423,Blueground,791758121623928078,2024-06-26,41.8725288,-87.6308608,32,"Blueground | South Loop, gym & lounge, nr park",Loop,1,168.00,Entire home/apt
196,Chicago,212892963,Leonard,792077784641835604,2025-01-01,41.79283790426646,-87.61727798803057,2,McCormick Place Mirage: 10 mins to Dine & Dwtn,Washington Park,7,,Entire home/apt
169,Chicago,458968716,Luanne,792157794825949262,2025-02-16,41.9589839,-87.730333,1,Vibrant 1BR Apartment close to Dining,Irving Park,49,84.00,Entire home/apt
0,Chicago,107434423,Blueground,792540789158442641,2024-03-27,41.8945286,-87.63340520000003,32,"Blueground | River N, gym & roof, nr Riverwalk",Near North Side,3,171.00,Entire home/apt
0,Chicago,107434423,Blueground,786697287888008909,2024-03-30,41.8945286,-87.63340520000003,32,"Blueground | River N, gym & roof, nr Riverwalk",Near North Side,1,,Entire home/apt
62,Chicago,431019163,Paul,786888547329484750,2025-01-02,41.88384,-87.62796,1,King Room in heart of Downtown,Loop,22,243.00,Private room
343,Chicago,497612509,Dawn,810903797176815984,2024-05-25,41.96620312977344,-87.71067652619966,2,Beautiful space in NW Chicago,Albany Park,19,346.00,Entire home/apt
365,Chicago,177188450,Level,811511088781175842,2024-07-15,41.8913478,-87.6373584,32,Level- 1 Bedroom Suite in The Heart Of River North,Near North Side,1,175.00,Entire home/apt
0,Chicago,465428850,Stephanie And Zach,811537270467013788,2025-02-23,41.951536,-87.6534684,2,Spacious House ~3min walk WrigleyField~Free Prkg,Lake View,58,,Entire home/apt
335,Chicago,370154553,Innesa,811598959762017418,2025-02-24,41.85485631741713,-87.62445263049007,2,McCormick 2br/2ba Oasis Parking/Patio/Gym/sleeps 6,Near South Side,34,191.00,Entire home/apt
14,Chicago,431019163,Paul,793519585729936101,2025-03-09,41.88538372043955,-87.62984037821218,1,2 Queen Bed Room in Theatre Dst,Loop,105,279.00,Private room
0,Chicago,184488000,Eric And Erika,794432943433581906,2025-02-19,41.8484587506757,-87.68523189085427,4,Urban Oasis in Heart of Chicago,Lower West Side,40,169.00,Entire home/apt
301,Chicago,24388042,DeLuxe,795025010773030390,2024-07-12,41.89329909889363,-87.6179153255746,32,Downtown 1BR - Gym Pool Parking - City/Lake Views,Near North Side,4,250.00,Entire home/apt
1,Chicago,25074085,Joe,795099860511357681,2023-03-05,41.92418058244831,-87.69367877941414,2,Lovely lrg bedrm in tall bright&relaxing apartmnt.,Logan Square,2,82.00,Private room
284,Chicago,25074085,Joe,795378398401248815,2024-11-04,41.92548,-87.69586,2,"Lovely bedrm in tall, bright & relaxing apartment.",Logan Square,6,85.00,Private room
3,Chicago,30438346,Briana,795904949900287701,2024-10-20,41.82491,-87.63955,1,Cozy Retreat,Bridgeport,35,93.00,Entire home/apt
19,Chicago,431019163,Paul,796407726018721299,2025-01-13,41.883912348741696,-87.62969354144141,1,Private Room - Downtown,Loop,4,243.00,Private room
18,Chicago,431019163,Paul,796465765285127869,2025-03-05,41.88386255848874,-87.63009639524205,1,King Room in Theatre District,Loop,31,279.00,Private room
0,Chicago,264445549,Steven,811604710153399789,2024-03-08,41.9142495,-87.6984042,32,Modern 2B Gem in North Chicago,Logan Square,28,,Entire home/apt
339,Chicago,370154553,Innesa,811617775962226375,2025-02-23,41.8533,-87.6238,2,McCormick 2br/2ba Oasis Parking/Patio/Gym/sleeps 6,Near South Side,83,165.00,Entire home/apt
357,Chicago,21891111,Ming,811619871047184595,2025-02-17,41.84857,-87.68483,5,23rd Pl 2D,Lower West Side,35,32.00,Private room
0,Chicago,38553561,Drea,811648329048018347,2024-03-09,41.98987,-87.70395,1,Queen Bed in Mid Century House with hot tub,West Ridge,5,76.00,Private room
340,Chicago,170286644,Marsha,811733169686724230,2023-09-06,41.77621070794764,-87.59877510093821,7,University of Chgo. / Woodlawn / Hyde PK,Woodlawn,2,100.00,Entire home/apt
177,Chicago,497853220,Antoine,811967469446163482,2024-05-26,41.93326,-87.80583,1,Cozy 2BR/2BA Condo near O'hare/CTA Train & Loop,Montclare,5,,Entire home/apt
19,Chicago,431019163,Paul,796465880869883962,2025-01-12,41.88407983227038,-87.62811298077611,1,King Bedroom in Downtown,Loop,35,243.00,Private room
0,Chicago,431019163,Paul,796502673687573569,2025-03-01,41.88531185092463,-87.62800989833387,1,Private Room in Theatre District,Loop,32,243.00,Private room
0,Chicago,333201887,Yanko,796577437412249252,2024-11-25,41.95447550889623,-87.67043441248222,2,Homey studio near Wrigley Field,Lake View,35,77.00,Entire home/apt
271,Chicago,48764722,Doris,796603565653623748,2025-03-03,41.89904,-87.75435,2,"The Perfect Get-Away, Entire Home!",Austin,16,99.00,Entire home/apt
0,Chicago,485565209,Rabeeha,796661430845895786,2025-01-20,41.79765099999999,-87.5899872,2,Beautiful 1BR Home in Historic Hyde Park Near UChi,Hyde Park,66,,Entire home/apt
33,Chicago,316787157,Christian,796866365414874330,2024-11-17,42.0178787,-87.68748839999999,1,Hidden Gem on the CHI north side,West Ridge,27,130.00,Entire home/apt
349,Chicago,107434423,Blueground,796884763450914647,2023-05-27,41.8945286,-87.63340520000003,32,"Blueground | River N, gym & roof, nr Riverwalk",Near North Side,1,223.00,Entire home/apt
163,Chicago,24084926,Jordan,812221846836994999,2025-03-02,41.94141464862786,-87.7047191767559,3,Botanical BnB. House in Avondale/Logan Square.,Avondale,74,89.00,Entire home/apt
223,Chicago,13667825,Brandon,812416428046655798,2024-12-22,41.876567,-87.691795,1,Pillow in the Penthouse,East Garfield Park,38,75.00,Private room
120,Chicago,464407683,Hubbard Holdings,812497751740798714,2025-02-23,41.9116,-87.63618,2,Luxury SOHO Styled Two-Level Townhouse | Old Town,Lincoln Park,92,572.00,Entire home/apt
179,Chicago,81985803,Jenny,812588698213960144,2023-04-10,41.966839,-87.668056,32,Updated|Vintage|2BR Uptown/Ravenswood,Uptown,5,172.00,Entire home/apt
224,Chicago,13667825,Brandon,813156041604916901,2025-03-09,41.87748,-87.69289,1,Spacious Southroom,East Garfield Park,47,66.00,Private room
0,Chicago,497660633,Flexhome,813219049103935729,2024-04-01,41.89548282879729,-87.65688392352685,32,Luxury River West Studio N1 Gym+Rooftop+Skyline,West Town,4,65.00,Entire home/apt
0,Chicago,497660633,Flexhome,813637553760000323,2024-08-12,41.896397,-87.656066,32,Luxury River West High-Rise N2 Gym+Rooftop+Skyline,West Town,3,114.00,Entire home/apt
294,Chicago,127235673,Alex,814055900983679192,2023-07-16,42.0063272,-87.66828509999999,32,Great location free wifi Farwell 1,Rogers Park,7,39.00,Private room
255,Chicago,85647159,Masato,814198516176531410,2024-12-11,41.83461447898152,-87.68331851647712,30,Gem 2 in McKinley Park Chicago,Mckinley Park,51,56.00,Private room
0,Chicago,485565209,Rabeeha,797176669447151363,2025-03-04,41.7974989,-87.5901416,2,Charming 3BR Chicago Apt Prime Location Near UChi,Hyde Park,72,,Entire home/apt
341,Chicago,20895985,Cristina,797240135572507251,2025-02-23,41.8935875,-87.6617254,2,Cozy&Spacious! Free St Pkng/ Steps from Downtown!,West Town,98,207.00,Entire home/apt
87,Chicago,492774222,Sosina Operations,797366668806692109,2024-12-03,41.78203946605952,-87.61392391427937,2,Eclipse: Apt. in Woodlawn | Near UChicago,Woodlawn,82,98.00,Entire home/apt
365,Chicago,494506415,Risa,797862274646922471,2023-10-09,41.67934489239559,-87.62586559052387,32,A Room to Enjoy Quiet and Cozy HomeLliving,West Pullman,4,90.00,Private room
0,Chicago,90856006,Johana,798035438434398838,2025-03-09,41.9823189,-87.67370919999999,2,Vibrant & Chic Apt On Quiet St in Andersonville,Edgewater,136,141.00,Entire home/apt
57,Chicago,494665828,Steven,798550379778693100,2025-02-18,41.97356674231713,-87.71683394908906,1,"Large 2 BedRm, 2 Blks to CTA trains - Dwtn / ORD",North Park,27,132.00,Entire home/apt
77,Chicago,498386999,Adam,814456266170506844,2025-02-23,41.91461850014266,-87.68714311917972,2,"The Exclusive- 7 Bed, 6 Bath Retreat",Logan Square,77,570.00,Entire home/apt
0,Chicago,497660633,Flexhome,814475824313107782,2024-11-01,41.8963822,-87.6560468,32,Luxury River West High-Rise N5 Gym+Rooftop+Skyline,West Town,5,117.00,Entire home/apt
0,Chicago,497660633,Flexhome,814475824871825922,2024-11-04,41.8963822,-87.6560468,32,Luxury River West High-Rise N4 Gym+Rooftop+Skyline,West Town,5,105.00,Entire home/apt
0,Chicago,497660633,Flexhome,814475825950893127,2024-06-07,41.8963822,-87.6560468,32,Luxury River West High-Rise N6 Gym+Rooftop+Skyline,West Town,4,105.00,Entire home/apt
347,Chicago,177511412,Joceline,814512232908890198,2024-12-30,41.84663759584124,-87.70475228655046,2,La Villita - Gateway to Chicago,South Lawndale,32,147.00,Entire home/apt
316,Chicago,436959191,Yan Na,815565248302037425,2025-02-25,41.84972499191549,-87.63411544640506,1,1F4. Full Kitchen + All Essential Amenities,Armour Square,77,38.00,Private room
319,Chicago,436959191,Yan Na,815573290694940646,2025-01-29,41.8494,-87.63424,1,1F3. New Furnishings Full Kitchen 10min to CTA,Armour Square,73,36.00,Private room
266,Chicago,234070975,William,798593024970947062,2024-12-01,41.911658161235614,-87.64754421472807,28,Entire Apartment in Lincoln Park,Lincoln Park,62,115.00,Entire home/apt
149,Chicago,494858846,Jaccy,799386857419762566,2024-12-01,42.0111506,-87.6760915,1,Beautiful 3 Bedroom TownHome in Rogers Park,Rogers Park,36,163.00,Entire home/apt
157,Chicago,111062630,Kyriako,799484939337303789,2024-09-12,41.8582967,-87.64751509999999,2,Elegant Condo Just South of Loop W Easy Parking,Lower West Side,16,148.00,Entire home/apt
90,Chicago,33321452,Roberto,799968905188661289,2025-03-02,41.99126188937719,-87.67162565141916,2,Spacious 2 Bedroom apartment,Edgewater,32,148.00,Entire home/apt
351,Chicago,370154553,Innesa,800849935359049679,2025-01-20,41.85404,-87.62747,2,McCormick Place 420 friendly 3Br/2Ba opt Parking,Near South Side,53,231.00,Entire home/apt
121,Chicago,98193524,Jeremy,801311867487505571,2024-12-05,41.87371341373282,-87.62922815718673,32,Downtown Vintage Group Lofts - Sleep 25,Loop,4,"1,094.00",Entire home/apt
317,Chicago,495341512,Casa,801373794766236676,2025-01-01,41.94246,-87.7496,1,Classic Chicago Bungalow Garden Unit 1bdrm 1 bath,Portage Park,119,117.00,Entire home/apt
18,Chicago,431019163,Paul,801512085106777604,2025-01-19,41.88540882301161,-87.62790300382814,1,King Room in Downtown,Loop,43,279.00,Private room
186,Chicago,96730613,Demitri,815938170026864626,2025-03-04,41.941982,-87.6520537,2,*Chic|Cozy|Entire 2Bd Short walk to Wrigley Field*,Lake View,120,117.00,Entire home/apt
307,Chicago,395498979,Milan,816071875145690665,2024-05-28,41.854216121315375,-87.62517933775051,2,McCormick 2B/2Ba for up to 6 guests w Opt Parking,Near South Side,13,198.00,Entire home/apt
269,Chicago,62700055,Ryan,816159326445503733,2025-01-04,41.87228349102826,-87.68892718550882,32,Queen Bedroom in Quiet Apt. with Free Laundry,Near West Side,3,39.00,Private room
